指标名称,数据来源,数据格式,展示方式,目标值,实际完成值,完成率,状态,更新频率,,,
需求文档完成数,手动录入,数值,柱状图,15,28,187%,超额完成,周,,,
立绘反馈完成数,手动录入,数值,柱状图,15,82,547%,超额完成,周,,,
Demo测试完成数,手动录入,数值,柱状图,3,14,467%,超额完成,周,,,
资料学习完成数,手动录入,数值,柱状图,3,4,133%,超额完成,周,,,
竞品体验完成数,手动录入,数值,柱状图,3,3,100%,完成,周,,,
会议记录整理完成数,手动录入,数值,柱状图,,8,,完成,周,,,
https://www.notion.so/2378bb9e1a4e80dcbfd1e466a6c01546?v=3028bb9e1a4e808c9dd2000c5a3ae447,,,,,,,,,,,
,,,,,,,,,,,
?? 组员 KPI 需求填报模板,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
姓名,部门 / 组别,直属组长,填写日期,展示方式,,,,,,,数字卡片/折线图/柱状图
狐狸,1game/proW,k,2026/4/1,数字卡片,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
指标名称,数据来源,数据格式,展示方式,目标值,实际完成值,完成率,状态,更新频率,,,
需求文档完成数,手动录入,数值,柱状图,15,28,187%,超额完成,周,,,
立绘反馈完成数,手动录入,数值,柱状图,15,82,547%,超额完成,周,,,
Demo测试完成数,手动录入,数值,柱状图,3,14,467%,超额完成,周,,,
资料学习完成数,手动录入,数值,柱状图,3,4,133%,超额完成,周,,,
竞品体验完成数,手动录入,数值,柱状图,3,3,100%,完成,周,,,
会议记录整理完成数,手动录入,数值,柱状图,8,8,100%,完成,周,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
